timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
23:35.0,11804,13 /display_staff.php,200,OK,EditStaff 1-164,text,TRUE,,5858,967,21,144,9844,0,9413
23:35.1,13976,77 /add_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,AddCustomer 4-204,text,FALSE,,3570,828,4,45,3283,0,451
23:35.1,1643,78 /admin_hompage.php,200,OK,AddCustomer 4-202,text,TRUE,,4811,963,31,168,449,0,0
23:35.1,4179,100 /adminlogin.php,200,OK,AddStaff 6-198,text,TRUE,,2201,385,27,169,4179,0,3488
23:35.1,12496,74 /adminlogin.php,200,OK,AddCustomer 4-222,text,TRUE,,7045,1646,24,141,1206,0,0
23:35.1,5671,57 /adminlogin.php,200,OK,DeleteCustomer 3-197,text,TRUE,,7045,1646,34,164,461,0,0
23:35.2,5520,15 /alter_staff.php,200,OK,EditStaff 1-146,text,TRUE,,5206,1825,26,164,3943,0,3471
23:35.2,1210,89 /adminlogin.php,200,OK,DeleteStaff 5-222,text,TRUE,,7043,1646,25,170,444,0,0
23:35.3,392,10 /adminlogin.php,200,OK,EditStaff 1-173,text,TRUE,,2200,385,26,173,392,0,0
23:35.4,3312,92 /editstaff.php,200,OK,DeleteStaff 5-208,text,TRUE,,10081,1654,25,170,1202,0,0
23:35.4,7666,43 /display_customer.php,200,OK,EditCustomer 2-110,text,TRUE,,553210,970,22,159,1273,0,0
23:35.5,745,108 /display_staff.php,200,OK,AddStaff 6-191,text,TRUE,,5856,967,27,169,373,0,0
23:35.5,2707,10 /adminlogin.php,200,OK,EditStaff 1-172,text,TRUE,,2201,385,28,169,2707,0,360
23:35.6,7691,78 /admin_hompage.php,200,OK,AddCustomer 4-210,text,TRUE,,4813,963,30,159,3981,0,3490
23:35.6,1446,71 /adminlogin.php,200,OK,AddCustomer 4-223,text,TRUE,,2201,385,32,171,1446,0,352
23:35.6,2390,15 /alter_staff.php,200,OK,EditStaff 1-158,text,TRUE,,5205,1825,28,170,369,0,0
23:35.6,1863,93 /delete_staff.php,200,OK,DeleteStaff 5-193,text,TRUE,,5855,964,24,169,1477,0,361
23:35.6,5629,59 /delete_customer.php,200,OK,DeleteCustomer 3-185,text,TRUE,,553207,969,34,164,1247,0,0
23:35.6,766,86 /adminlogin.php,200,OK,DeleteStaff 5-223,text,TRUE,,2201,385,25,170,766,0,378
23:35.7,787,93 /delete_staff.php,200,OK,DeleteStaff 5-209,text,TRUE,,5854,964,25,170,385,0,0
23:35.7,6711,11 /adminlogin.php,200,OK,EditStaff 1-173,text,TRUE,,7044,1646,26,161,382,0,0
23:35.7,12046,74 /adminlogin.php,200,OK,AddCustomer 4-221,text,TRUE,,7046,1646,24,141,4167,0,3462
23:35.9,7832,90 /admin_hompage.php,200,OK,DeleteStaff 5-221,text,TRUE,,4813,961,22,155,4030,0,3515
23:35.9,6250,108 /display_staff.php,200,OK,AddStaff 6-166,text,TRUE,,5858,967,25,162,4250,0,3513
23:35.9,783,94 /admin_hompage.php,200,OK,DeleteStaff 5-199,text,TRUE,,4811,965,24,169,384,0,0
23:36.0,7817,58 /admin_hompage.php,200,OK,DeleteCustomer 3-192,text,TRUE,,4813,961,34,155,4229,0,3489
23:36.0,1184,62 /editcustomer.php,200,OK,DeleteCustomer 3-165,text,TRUE,,2623,1138,35,171,776,0,382
23:36.0,7633,79 /display_customer.php,200,OK,AddCustomer 4-199,text,TRUE,,553421,970,29,156,1547,0,387
23:36.0,10044,79 /display_customer.php,200,OK,AddCustomer 4-200,text,TRUE,,553421,970,26,148,1609,0,388
23:36.1,2217,40 /editcustomer.php,200,OK,EditCustomer 2-108,text,TRUE,,6045,1137,24,170,1691,0,408
23:36.1,7335,33 /display_customer.php,200,OK,EditCustomer 2-114,text,TRUE,,553421,970,22,158,1633,0,376
23:36.1,792,3 /,200,OK,EditStaff 1-174,text,TRUE,,4328,371,27,168,792,0,379
23:36.1,2136,12 /admin_hompage.php,200,OK,EditStaff 1-162,text,TRUE,,4812,961,28,170,1605,0,377
23:36.2,5349,92 /editstaff.php,200,OK,DeleteStaff 5-212,text,TRUE,,10082,1654,25,163,372,0,0
23:36.2,1190,109 /admin_hompage.php,200,OK,AddStaff 6-191,text,TRUE,,4812,967,28,170,762,0,367
23:36.3,4073,55 /adminlogin.php,200,OK,DeleteCustomer 3-199,text,TRUE,,2201,385,34,165,4073,0,3510
23:36.4,8074,90 /admin_hompage.php,200,OK,DeleteStaff 5-222,text,TRUE,,4813,961,21,152,4257,0,3510
23:36.4,2632,89 /adminlogin.php,200,OK,DeleteStaff 5-223,text,TRUE,,7044,1646,25,169,1147,0,0
23:36.4,6446,59 /delete_customer.php,200,OK,DeleteCustomer 3-187,text,TRUE,,553418,969,34,160,1719,0,401
23:36.4,12644,90 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteStaff 5-213,text,FALSE,,2675,0,11,33,0,0,9559
23:36.5,10587,94 /admin_hompage.php,200,OK,DeleteStaff 5-209,text,TRUE,,4812,965,20,143,402,0,0
23:36.5,1704,44 /admin_hompage.php,200,OK,EditCustomer 2-100,text,TRUE,,4811,973,25,170,1207,0,0
23:36.5,2199,91 /delete_staff.php,200,OK,DeleteStaff 5-218,text,TRUE,,5855,966,25,170,1753,0,412
23:36.5,12522,64 /admin_hompage.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteCustomer 3-175,text,FALSE,,5783,487,11,75,10122,0,9560
23:36.5,12432,41 /alter_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,EditCustomer 2-111,text,FALSE,,6179,1285,22,119,10130,0,9550
